,date,年份,月份,海拔高度(m),经度(lon),纬度(lat),平均气温(℃),平均最高气温(℃),平均最低气温(℃),最高气温极值(℃),最低气温极值(℃),平均气温≥18℃的天数,平均气温≥35℃的天数,平均气温≤0℃的天数,平均露点温度(℃),降水量(mm),最大单日降水量(mm),降水天数,平均海平面气压(hPa),最低海平面气压(hPa),平均站点气压(hPa),积雪深度(mm),平均能见度(km),最小能见度(km),最大能见度(km),平均风速(knots),平均最大持续风速(knots),单日最大平均风速(knots),平均最大瞬时风速(knots),最大瞬时风速极值(knots),"高层植被(LAIH,m2/m2)","低层植被(LAIL,m2m2)",10cm湿度(kgm2),40cm湿度(kgm2),100cm湿度(kgm2),200cm湿度(kgm2),土壤蒸发量(W/m2),土壤蒸发量(mm),植被指数(NDVI),径流量(m3/s),径流量(m3),绿植覆盖率,icstore,icstore10,icstore40,icstore100,cp
74,Mar-18,2018,3,1004,115.375,44.125,0.3,7.64,-9.03,20.72,-23.89,0,0,14,-14.4,29.72,20.07,6,1020.06,998.8,900.66,40.64,22.58,8.21,28.81,6.64,12.04,21.4,,,0,0.717,9.75,34.02,42.65,167.28,1.15,1.23,0.310289389,0.7671371,2054700,,28.58,2,-5.53,-14.16,0.029872106
75,Apr-18,2018,4,1004,115.375,44.125,7.41,13.25,-0.92,29.72,-10.78,2,0,6,-8.17,19.56,4.06,11,1014.59,997.9,898.72,,22.9,4.51,29.93,9.02,14.96,25.3,,,0,0.727,14.55,33.84,42.62,167.28,12.3,12.76,0.316720257,0.64375,1668600,,6.185,8.78,-27.04,-35.82,0.031481312
76,May-18,2018,5,1004,115.375,44.125,16.33,22.53,7.46,35.5,-1.72,11,0,0,-2.06,20.83,7.37,8,1007.98,991.9,896.19,,26.1,15.93,29.93,7.45,13.28,19.4,,,0,0.739,13.94,33.22,42.49,167.28,11.82,12.66,0.334405145,0.15423387,413100,,8.6445,1.45,-25.05,-34.32,0.036061869
77,Jun-18,2018,6,1004,115.375,44.125,20.89,26.43,12.89,33.11,8.39,25,0,0,4.96,19.56,6.1,6,1002.83,997.4,893.28,,27.36,16.58,29.93,6.77,12.36,19.4,,,0,0.827,15.68,35.17,42.36,167.28,15.79,16.37,0.360128617,0.13645834,353700,,2.1555,64.18,-31.98,-39.17,0.043130944
78,Jul-18,2018,7,1004,115.375,44.125,25,30.22,18.7,35.11,14.28,31,0,0,14.08,95.76,44.96,12,1002.18,995.6,894.1,,26.14,17.7,29.93,6.95,11.23,19.4,,,0,0.964,19.66,49.55,45.46,167.27,25.76,27.6,0.942122186,0.21270162,569700,,58.617,35.75,18.61,22.7,0.331810982
79,Aug-18,2018,8,1004,115.375,44.125,21.51,26.97,14.66,35.72,8.89,28,0,0,12.63,50.8,14.48,9,1008.06,1000.9,898.19,,27.66,16.09,29.93,5.34,9.53,17.5,,,0,0.983,19.01,52.52,57.18,167.23,14.65,15.7,0.954983923,0.5997984,1606500,,24.505,49.04,-17.42,-22.08,0.340975569
80,Sep-18,2018,9,1004,115.375,44.125,11.94,17.83,5.17,25.89,0.39,3,0,0,3.04,61.47,32.51,16,1014.03,999.8,906.67,,27.12,17.06,29.93,7.1,11.73,17.5,,,0,0.847,18.27,49.75,60.56,167.15,12.7,13.17,0.797427653,0.6901042,1788750.1,,46.9935,21.57,-1.45,-12.26,0.237007682
81,Oct-18,2018,10,1004,115.375,44.125,2.79,9.38,-4.83,21,-13.22,0,0,8,-7.68,24.64,20.07,4,1023.89,1013.6,905.16,60.96,24.69,9.82,29.93,5.52,9.52,21.4,,,0,0.738,14.81,48.14,62.59,167.07,6.09,6.53,0.493569132,0.36844757,986850,,17.7695,237.09,-30.03,-44.48,0.087532739
82,Nov-18,2018,11,1004,115.375,44.125,-5.82,-0.41,-12.34,14.72,-17.89,0,0,26,-13.47,236.73,59.94,13,1027.96,1016.7,905.21,10.16,22.43,8.05,29.93,5.53,9.26,17.5,,,0,0.71,12.47,46.1,63.66,167.03,1.91,1.98,0.392282958,0.2893229,749924.94,,235.183,0.17,188.65,171.09,0.0526447
83,Dec-18,2018,12,1004,115.375,44.125,-15.42,-10.16,-21.94,7.72,-31.28,0,0,30,-24.69,0,0,0,1036.21,1015.1,908.05,,24.8,10.3,29.93,5.99,9.78,17.5,,,0,0.648,11.08,46.07,63.68,167.03,1.14,1.22,0.353697749,0.21068548,564300,,-1.014,0.53,-47.29,-64.9,0.041318514
84,Jan-19,2019,1,1004,115.375,44.125,-13.78,-7.89,-20.5,0.72,-26.28,0,0,31,-22.87,0.51,0.51,1,1034.67,1025.5,907.52,,24.75,16.58,29.93,5.96,9.97,17.5,,,0,0.636,10.27,46.07,63.68,167.03,0.74,0.79,0.353697749,0.15372984,411750,,-0.1585,184.71,-46.35,-63.96,0.041318514
85,Feb-19,2019,2,1004,115.375,44.125,-14.38,-7.88,-22.03,3.5,-29.72,0,0,28,-22.01,184.4,29.97,11,1033.2,1012.6,905.96,,22.61,8.53,29.93,4.73,8.33,17.5,,,0,0.651,9.64,46.07,63.68,167.03,0.33,0.32,0.353697749,0.09933036,240300,,184.1745,1.13,138.01,120.4,0.041318514
86,Mar-19,2019,3,1004,115.375,44.125,-2.14,4.34,-10.71,16.61,-15.11,0,0,24,-14.68,2.79,1.52,3,1020.57,1005,903.38,,24.85,12.55,29.93,6.66,12.59,17.5,,,0,0.717,10.02,46.05,63.66,167.03,1.19,1.28,0.340836013,0.5554435,1487700,,1.478,-0.36,-44.54,-62.15,0.037783977
87,Apr-19,2019,4,1004,115.375,44.125,7.34,13.76,-2.03,29.11,-11.28,1,0,2,-12.92,5.84,3.81,2,1014.43,997.1,898.55,,25.46,14.65,29.93,7.38,12.57,19.4,,,0,0.727,11.22,45.67,63.41,167.03,4.82,5,0.321543408,0.3,777600,,1.031,2.89,-44.83,-62.57,0.032707974
88,May-19,2019,5,1004,115.375,44.125,14.26,20.71,5.09,33.22,-2.39,5,0,0,-5.57,30.23,6.6,10,1008.47,995.6,895.9,,26.28,10.94,29.93,8.24,14.92,23.3,,,0,0.739,15.88,44.71,62.31,167.02,21.17,22.68,0.360128617,0.3125,837000,,8.168,42.34,-37.16,-54.76,0.043130944
89,Jun-19,2019,6,1004,115.375,44.125,20.08,25.61,11.91,33.61,6.78,21,0,0,6.66,64.77,11.94,13,1003.69,995.2,893.72,,27.34,14.16,29.93,6.75,12.3,23.3,,,0,0.827,16.75,43.84,60.77,166.95,20.79,21.56,0.454983923,0.29895833,774900,,44.738,38.43,-0.63,-17.56,0.073361421
90,Jul-19,2019,7,1004,115.375,44.125,22.82,29.01,15.19,34.5,9.22,29,0,0,11.14,59.18,32.26,13,1002.35,995,893.47,,27.42,12.55,29.93,5.8,10.85,19.4,,,0,0.964,17.25,45,57.97,166.86,18.9,20.25,0.556270096,0.2888105,773550,,40.618,98.11,-6.07,-19.04,0.112872799
91,Aug-19,2019,8,1004,115.375,44.125,18.76,24.43,12.36,33.5,7.28,15,0,0,10.63,113.54,17.78,17,1007.84,1000.2,896.99,,26.67,20.92,29.93,6.13,10.85,17.5,,,0,0.983,17.39,40.65,52.05,166.81,14.27,15.29,0.549839228,0.30040324,804600,,104.9475,16.37,57.6,46.2,0.110142099
92,Sep-19,2019,9,1004,115.375,44.125,17.14,24.67,7.68,32,-0.89,12,0,0,2.17,16.51,10.92,5,1015.94,1003.9,903.57,,28.65,24.94,29.93,5.37,9.27,17.5,,,0,0.847,12.68,37.3,48.82,166.76,4.68,4.85,0.480707395,0.25,648000,,16.483,22.09,-25.64,-37.16,0.082688537
93,Oct-19,2019,10,1004,115.375,44.125,4.36,10.91,-2.93,27.72,-12,1,0,6,-6.34,28.45,10.67,8,1023.35,1008.2,911.73,,25.75,18.35,29.93,6.58,11.65,19.4,,,0,0.738,13.99,32.99,47.08,166.72,4.71,5.05,0.392282958,0.21018144,562950,,26.555,2.38,-9.59,-23.68,0.0526447
94,Nov-19,2019,11,1004,115.375,44.125,-5.28,2.08,-12.69,15.72,-22.28,0,0,22,-13.85,5.33,1.52,6,1027.86,1013.1,908.41,,24.17,16.25,29.93,5.99,10.48,23.3,19.77,32.2,0,0.71,13.89,33.78,47.06,166.7,2.94,3.05,0.340836013,0.17552084,454950,,1.9655,21.31,-31.5,-44.78,0.037783977
95,Dec-19,2019,12,1004,115.375,44.125,-15.1,-8.08,-22.64,-2.78,-29,0,0,31,-19.49,20.57,10.41,9,1032.35,1017.5,904.9,160.02,20.97,4.83,29.93,5.38,8.91,13.4,17.83,23.1,0,0.648,12.59,33.85,47.07,166.7,0.52,0.56,0.316720257,0.12878025,344925,,20.1655,4.08,-13.84,-27.06,0.031481312
96,Jan-20,2020,1,1004,115.375,44.125,-17.49,-10.54,-24.89,-2.72,-31.22,0,0,31,-21.13,4.06,2.79,3,1036.15,1024.7,907.1,200.66,17.65,7.56,29.93,4.93,7.77,13,15.75,23.5,0,0.636,12.21,33.85,47.07,166.7,0.33,0.36,0.012861736,0.021169355,56700,,3.757,8.36,-30.15,-43.37,-0.011656827
97,Feb-20,2020,2,1004,115.375,44.125,-12.46,-5.33,-20.57,5.72,-33.72,0,0,29,-17.08,8.64,3.3,6,1031.63,1014.3,905.37,170.18,21.39,6.12,29.93,5.52,9.88,16.5,18.57,26.2,0,0.652,11.86,33.85,47.07,166.7,0.63,0.63,0.030546624,0,0,,8.0625,1.45,-25.84,-39.06,-0.010988327
98,Mar-20,2020,3,1004,115.375,44.125,-1.65,4.99,-9.16,17.22,-24.22,0,0,20,-11.69,4.32,1.78,5,1020.32,1008.5,900.14,,26.92,15.93,29.93,7.19,11.64,15.5,23.19,32.8,0,0.717,11.95,33.84,47.07,166.7,2.6,2.78,0.327974277,0.9798388,2624400,,1.531,-2,-32.3,-45.53,0.034369868
99,Apr-20,2020,4,1004,115.375,44.125,5.82,14.01,-3.37,29,-9.11,1,0,3,-11.24,10.67,6.86,3,1019.62,1002.5,902.48,,25.75,9.98,29.93,6.92,12.45,21,25.37,37.7,0,0.727,13.73,33.65,46.99,166.7,10.51,10.89,0.310289389,0.17708333,459000,,-0.3375,15.03,-33.87,-47.21,0.029872106
100,May-20,2020,5,1004,115.375,44.125,13.95,21.1,6.06,33.72,-0.22,8,0,0,0.15,39.12,7.11,14,1006.43,995.1,893.97,,26.47,14.32,29.93,7.41,12.69,22.5,27.18,42.9,0,0.739,16.51,34.02,46.68,166.7,19.89,21.31,0.327974277,0.13205644,353700,,17.4745,11.25,-16.21,-28.87,0.034369868
101,Jun-20,2020,6,1004,115.375,44.125,20.42,28.69,12.19,37.39,5.22,23,0,0,6.93,35.81,11.43,9,1002.34,995.7,892.6,,27.92,20.92,29.93,6.84,12.01,16.7,27.55,45.5,0,0.827,17.01,40,46.43,166.67,23.21,24.06,0.442122186,0.13333334,345600,,9.199,135.29,-28.25,-34.68,0.068878506
102,Jul-20,2020,7,1004,115.375,44.125,21.06,28.13,14.81,31.5,10.22,29,0,0,12.95,171.96,67.31,14,1003.63,996.5,894.02,,26.07,13.84,29.93,6.01,9.75,14.8,22.03,47,0,0.964,21.31,56.6,54.24,166.62,30.21,32.37,1,0.19657259,526500,0.268,125.252,59.17,82.99,85.35,0.374
103,Aug-20,2020,8,1004,115.375,44.125,20.12,27.8,13.75,31.78,8.61,25,0,0,11.96,83.31,48.51,15,1004.41,997,894.42,,28.16,19.79,29.93,6.19,10.23,23.1,21.03,35.2,0,0.983,20.79,56.63,68.52,166.51,23.02,24.66,0.961414791,0.19808468,530550,0.386666667,47.3455,8.82,2.02,-9.87,0.345603023
104,Sep-20,2020,9,1004,115.375,44.125,13.3,21.28,5.73,25.78,-1.72,1,0,0,4.95,25.65,7.62,15,1014.14,1004.1,900.6,,27.87,19.79,29.93,5.87,10.43,15.3,22.92,40.8,0,0.847,20.04,56.67,76.04,166.32,16.95,17.58,0.778135048,0.26302084,681750,0.198666667,2.2435,-2.7,-48.6,-67.97,0.225518843
105,Oct-20,2020,10,1004,115.375,44.125,3.76,12.66,-4.69,18.5,-10.89,0,0,5,-8.98,5.84,4.32,3,1022.65,1008.1,904.47,,27.33,13.36,29.93,6.75,10.99,21.6,23.28,39.8,0,0.738,16.59,52.88,80.84,166.09,11.19,11.99,0.474276527,0.2641129,707400,0.058666667,-7.652,4.11,-59.03,-86.99,0.080311597
106,Nov-20,2020,11,1004,115.375,44.125,-6.73,1.97,-14.51,14.11,-23.89,0,0,22,-13.92,5.08,2.03,5,1031.35,1015.8,907.69,134.62,21.37,3.86,29.93,5.32,8.96,15.9,18.64,31.5,0,0.71,15.04,50.66,82.25,165.95,2.43,2.52,0.379421222,0.19661458,509625,0.014666667,2.7335,-0.69,-48.1,-79.69,0.048748876
107,Dec-20,2020,12,1004,115.375,44.125,-20.17,-14.56,-26.01,-8.11,-33.39,0,0,31,-23.92,2.29,1.27,3,1037.28,1021.8,906.88,147.83,22.18,8.53,29.93,5.9,9.16,16.5,18.55,36.3,0,0.648,16.51,50.4,82.44,165.92,1.41,1.51,0.398713826,0.14566532,390150,0,0.5395,4.78,-49.62,-81.66,0.054637772
108,Jan-21,2021,1,1004,115.375,44.125,-20.03,-13.46,-27.67,-2.11,-37.78,0,0,31,-24.19,4.57,2.54,6,1032.13,1011.4,902.3,161.04,21.5,9.01,29.93,5.38,8.79,18.1,18.24,29.1,0,0.636,15.17,50.4,82.44,165.92,1.05,1.13,0.024115756,0.06653226,178200,0,3.641,239.74,-46.96,-79,-0.011257762
109,Feb-21,2021,2,1004,115.375,44.125,-12.43,-5.52,-20.91,6.22,-30.22,0,0,24,-17.65,240.03,80.01,9,1028.51,1011.3,902.65,110.49,24.29,10.14,29.93,6.08,10.03,18.6,19.84,31.5,0,0.651,13.93,50.4,82.44,165.92,1.58,1.53,0.030546624,0.03348214,81000,0,238.686,110.68,188.1,156.06,-0.010988327
110,Mar-21,2021,3,1004,115.375,44.125,-0.27,6.66,-9.28,20.89,-24,0,0,16,-9.88,118.62,50.04,10,1020.35,999.6,900.6,22.86,22,7.89,29.93,6.34,10.69,18.1,21.64,33.2,0,0.717,14.37,50.38,82.43,165.92,7,7.5,0.353697749,1.046371,2802600,0.014666667,111.071,-0.28,60.74,28.69,0.041318514
111,Apr-21,2021,4,1004,115.375,44.125,7.18,15.74,-1.81,25,-8.72,0,0,1,-7.77,10.67,2.54,8,1017.14,1004.1,900.87,,25.57,10.94,29.93,7.99,12.65,22.9,26.43,46,0,0.727,14.18,49.84,81.94,165.92,10.75,11.14,0.340836013,0.20104167,521100,0.038666667,0.1935,0.81,-50.31,-82.41,0.037783977
112,May-21,2021,5,1004,115.375,44.125,12.81,21.55,3.73,31.39,-3.78,4,0,0,-3.44,17.78,9.4,7,1005.61,997.9,892.74,,27.42,13.04,29.93,7.85,13.18,21,28.16,41.8,0,0.739,14.77,47.77,79.86,165.91,15.29,16.38,0.392282958,0.16028225,429300,0.081333333,3.912,23.61,-46.37,-78.46,0.0526447
113,Jun-21,2021,6,1004,115.375,44.125,18.56,26.43,11.09,32.72,5.78,16,0,0,6.93,52.07,14.99,14,1003.36,998.5,892.83,,28.07,16.09,29.93,6.66,11.77,20.2,25.71,42.7,0,0.827,17.66,47.63,76.28,165.71,24.66,25.57,0.569131833,0.17395833,450900,0.157333333,29.0935,99.05,-21.13,-49.78,0.11842452
114,Jul-21,2021,7,1004,115.375,44.125,22.31,29.31,16.41,33.39,12.72,28,0,0,15.16,134.37,65.79,12,1003.05,995.3,893.92,,26.15,8.53,29.93,5.03,9.17,16.1,20.72,32.1,0,0.964,22.1,61.7,85.27,165.46,28.82,30.88,0.651125402,0.38104838,1020600,0.322666667,89.4255,19.83,41.79,18.22,0.15664776
115,Aug-21,2021,8,1004,115.375,44.125,18.18,25.41,11.24,31.89,8.28,19,0,0,10.41,37.34,9.65,16,1007.72,1000.1,896.61,,24.91,11.91,29.93,5.47,9.52,16.5,19.87,31.7,0,0.983,20.36,56.11,85.64,165.15,17.97,19.25,0.898713826,0.421875,1129950,0.362666667,20.7255,46.94,-38.02,-67.55,0.301769605
116,Sep-21,2021,9,1004,115.375,44.125,14.61,23.27,7.08,28,-2.5,4,0,0,6.84,65.53,20.83,13,1013.52,1006.5,900.45,,26.72,15.13,29.93,5.29,9.3,16.3,20.76,31.1,0,0.847,21.01,59.26,87.32,164.85,17.3,17.94,0.847266881,0.6557292,1699649.9,0.253333333,44.881,-1.57,-11.67,-39.73,0.267941336
117,Oct-21,2021,10,1004,115.375,44.125,4.42,13.71,-3.61,23.28,-9.89,0,0,5,-6.91,4.83,4.83,1,1026.04,1003.7,907.6,,28.02,22.69,29.93,5.22,9.35,17.1,19.59,41.8,0,0.738,16.93,54.84,92.52,164.59,9.78,10.48,0.549839228,0.39264113,1051650,0.088,-7.079,532.44,-60.49,-98.17,0.110142099
118,Nov-21,2021,11,1004,115.375,44.125,-5.89,1.29,-12.83,13.61,-19.11,0,0,25,-12.19,530.86,50.04,23,1026.1,1014.9,903.43,53.34,25.54,17.38,29.93,5.9,9.9,17.5,20.15,31.3,0,0.71,13.91,52.17,93.43,164.49,1.39,1.44,0.411575563,0.2955729,766124.94,0,530.3965,193.64,477.25,435.99,0.05871424
119,Dec-21,2021,12,1004,115.375,44.125,-12.41,-5.7,-20.26,3.39,-31.39,0,0,31,-18.37,193.8,20.07,17,1031.97,1017.2,905.64,17.02,26.91,14,29.93,5.92,9.92,15,19.62,31.1,0,0.648,13.14,52.14,93.45,164.48,0.87,0.93,0.069131833,0.21723792,581850,0,192.988,607.56,140.73,99.42,-0.008739467
120,Jan-22,2022,1,1004,115.375,44.125,-17.09,-8.99,-25.18,-2,-29.5,0,0,31,-21.92,607.31,39.88,29,1034.97,1020.3,906.26,36.32,24.09,7.56,29.93,4.37,7.25,12.6,15.47,24.1,0,0.63638,12.45,52.14,93.45,164.48,0.41,0.44,0.04340836,0.16078629,430650,0,606.9735,796.12,554.73,513.42,-0.010359136
121,Feb-22,2022,2,1004,115.375,44.125,-17.93,-10.55,-25.89,-0.89,-33.28,0,0,28,-22.32,796.04,70.1,21,1035.77,1023.2,906.42,62.99,25.01,9.17,29.93,5.3,8.48,12.4,15.89,22.9,0,0.65073,12.1,52.14,93.45,164.48,0.28,0.27,0.04340836,0.116071425,280800,0,795.8225,106.73,743.63,702.32,-0.010359136
122,Mar-22,2022,3,1004,115.375,44.125,-2.36,5.35,-11.22,15.22,-20.5,0,0,22,-12.67,115.57,50.04,9,1019.49,1006.8,899.03,20.32,27.44,18.67,29.93,6.37,11.16,19.4,23.33,37.3,0,0.71679,14.96,52.13,93.44,164.48,5.58,5.98,0.327974277,0.82560486,2211300,0.016,109.1735,,57.46,16.15,0.034369868
123,Apr-22,2022,4,1004,115.375,44.125,7.61,15.43,-2.66,28.22,-9.39,0,0,2,-10.66,-18.42010687,3.05,2,1014.94,993.7,898.98,,27.94,16.25,29.93,7.41,12.69,21.4,26.32,32.6,0,0.727,,50.51641013,92.35028486,164.4808724,,10.86130781,0.321246689,,,0.038666667,-21.57716466,,,,0.032632022
124,May-22,2022,5,1004,115.375,44.125,12.95,20.39,3.09,30.22,-4.5,6,0,0,-3.76,58.86248935,8.38,6,1009.71,994.3,896.38,,28.61,18.51,29.93,6.55,12.35,23.3,,,0,0.739,,47.93404823,90.09654686,164.4712832,,18.35350694,0.360261213,,,,32.79808801,,,,0.04316863
125,Jun-22,2022,6,1004,115.375,44.125,19.59,26.74,11.75,34.11,4.28,20,0,0,8.32,95.20447014,7.87,8,1002.55,996,892.42,,27.1,17.86,29.93,5.87,10.5,19.4,,,0,0.827,,48.12805681,87.11589842,164.3261021,,23.14035309,0.516446688,,,,36.47874078,,,,0.096446881
126,Jul-22,2022,7,1004,115.375,44.125,23.31,32.03,15.34,34.89,12.22,26,0,0,10.63,128.3994149,11.18,7,1001.79,996.5,893.1,,28.61,17.06,29.93,6.3,11.15,17.5,,,0,0.964,,59.35636522,94.00794703,164.1396862,,27.01341406,0.7368032,,,,34.30763035,,,,0.20181761
127,Aug-22,,,,,,,,,,,,,,,93.16072056,,,,,,,,,,,,,,,,0.983,,55.27052328,101.2092306,163.8538111,,17.43224878,0.77570297,,,,234.3613561,,,,0.224089761
128,Sep-22,,,,,,,,,,,,,,,83.9410355,,,,,,,,,,,,,,,,0.847,,55.5138312,105.0021399,163.5242513,,13.11002853,0.661679618,,,,83.35817571,,,,0.161923401
129,Oct-22,,,,,,,,,,,,,,,55.54502569,,,,,,,,,,,,,,,,0.738,,51.53718557,108.6881482,163.1953108,,8.801253386,0.453989084,,,,174.7264863,,,,0.073010376
130,Nov-22,,,,,,,,,,,,,,,334.1498702,,,,,,,,,,,,,,,,0.71,,49.2946409,108.6763897,163.037454,,2.367445601,0.367285414,,,,224.6931675,,,,0.045183361
131,Dec-22,,,,,,,,,,,,,,,190.250021,,,,,,,,,,,,,,,,0.648,,48.96360874,107.6408941,163.0105524,,0.987582498,0.246486479,,,,58.19102503,,,,0.015537735
132,Jan-23,,,,,,,,,,,,,,,406.8642189,,,,,,,,,,,,,,,,0.636,,48.76678816,106.5446129,163.0105463,,0.634444958,0.09340072,,,,49.17774718,,,,-0.006769759
133,Feb-23,,,,,,,,,,,,,,,438.991294,,,,,,,,,,,,,,,,0.651,,48.61635213,105.5056231,163.0105437,,0.700530524,0.154401821,,,,32.79808801,,,,7.46E-05
134,Mar-23,,,,,,,,,,,,,,,89.26994415,,,,,,,,,,,,,,,,0.717,,48.49079456,104.5113247,163.0105426,,4.555777423,0.317560559,,,,36.47874078,,,,0.031693806
135,Apr-23,,,,,,,,,,,,,,,36.30065545,,,,,,,,,,,,,,,,0.727,,47.41868883,102.8433851,163.0112024,,9.902882225,0.316332709,,,,34.30763035,,,,0.031383483
136,May-23,,,,,,,,,,,,,,,81.52884365,,,,,,,,,,,,,,,,0.739,,45.46215945,99.80929455,162.9975051,,18.05514315,0.358530694,,,,234.3613561,,,,0.042677785
137,Jun-23,,,,,,,,,,,,,,,108.6216376,,,,,,,,,,,,,,,,0.827,,46.20550006,95.63867211,162.7708579,,23.0474706,0.516731203,,,,83.35817571,,,,0.09656014
138,Jul-23,,,,,,,,,,,,,,,149.7204802,,,,,,,,,,,,,,,,0.964,,57.87719095,102.9775393,162.4888205,,26.98449917,0.733507256,,,,174.7264863,,,,0.199981133
139,Aug-23,,,,,,,,,,,,,,,123.746926,,,,,,,,,,,,,,,,0.983,,54.13782317,105.3959564,162.116918,,17.4232474,0.779165563,,,,224.6931675,,,,0.226125669
140,Sep-23,,,,,,,,,,,,,,,88.53763714,,,,,,,,,,,,,,,,0.847,,54.64823956,107.2314419,161.7504565,,13.10722634,0.667233135,,,,58.19102503,,,,0.16473195
141,Oct-23,,,,,,,,,,,,,,,74.19675705,,,,,,,,,,,,,,,,0.738,,50.87631673,111.1389715,161.4262541,,8.800381048,0.456861156,,,,49.17774718,,,,0.074025796
142,Nov-23,,,,,,,,,,,,,,,191.2566657,,,,,,,,,,,,,,,,0.71,,48.79027874,111.0347665,161.2984969,,2.367174036,0.368610154,,,,32.79808801,,,,0.045567358
143,Dec-23,,,,,,,,,,,,,,,154.0482262,,,,,,,,,,,,,,,,0.648,,48.57875803,110.0195662,161.2837209,,0.987497959,0.241007739,,,,36.47874078,,,,0.014445012
